date,sub_region_code,demand,temperature_2m,hour,day_of_week,month,is_weekend,is_holiday
2025-01-01 23:00:00+00:00,7,347,4.796,23,2,1,0,0
2025-01-02 00:00:00+00:00,5,1538,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,0,1938,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,1,1250,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,8,747,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,3,673,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,10,2465,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,2,1939,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,9,5515,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,6,1245,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,7,348,4.446,0,3,1,0,0
2025-01-02 00:00:00+00:00,4,1095,4.446,0,3,1,0,0
2025-01-02 01:00:00+00:00,7,343,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,9,5455,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,5,1503,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,4,1076,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,3,671,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,6,1221,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,1,1221,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,8,739,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,2,1903,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,10,2422,4.946,1,3,1,0,0
2025-01-02 01:00:00+00:00,0,1917,4.946,1,3,1,0,0
2025-01-02 02:00:00+00:00,10,2363,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,8,730,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,4,1049,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,1,1185,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,9,5367,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,7,333,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,0,1879,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,6,1187,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,3,667,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,2,1885,4.446,2,3,1,0,0
2025-01-02 02:00:00+00:00,5,1463,4.446,2,3,1,0,0
2025-01-02 03:00:00+00:00,9,5255,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,8,713,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,5,1386,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,7,321,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,2,1776,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,0,1830,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,1,1130,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,6,1136,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,4,1006,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,10,2275,3.796,3,3,1,0,0
2025-01-02 03:00:00+00:00,3,679,3.796,3,3,1,0,0
2025-01-02 04:00:00+00:00,7,304,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,9,5048,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,6,1069,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,10,2151,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,8,690,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,3,667,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,0,1763,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,2,1685,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,5,1302,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,4,962,3.2459998,4,3,1,0,0
2025-01-02 04:00:00+00:00,1,1071,3.2459998,4,3,1,0,0
2025-01-02 05:00:00+00:00,2,1638,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,5,1238,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,0,1710,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,3,638,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,4,919,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,10,2010,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,7,282,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,1,1036,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,6,1009,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,8,616,2.846,5,3,1,0,0
2025-01-02 05:00:00+00:00,9,4853,2.846,5,3,1,0,0
2025-01-02 06:00:00+00:00,4,891,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,1,1023,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,3,624,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,6,960,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,7,266,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,9,4677,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,0,1670,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,8,581,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,5,1205,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,10,1897,2.396,6,3,1,0,0
2025-01-02 06:00:00+00:00,2,1621,2.396,6,3,1,0,0
2025-01-02 07:00:00+00:00,10,1820,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,2,1610,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,3,617,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,0,1658,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,9,4478,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,7,252,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,1,1015,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,6,923,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,8,620,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,5,1181,1.946,7,3,1,0,0
2025-01-02 07:00:00+00:00,4,873,1.946,7,3,1,0,0
2025-01-02 08:00:00+00:00,8,607,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,3,614,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,5,1169,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,1,1005,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,7,242,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,2,1625,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,9,4380,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,4,865,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,6,910,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,0,1651,1.696,8,3,1,0,0
2025-01-02 08:00:00+00:00,10,1774,1.696,8,3,1,0,0
2025-01-02 09:00:00+00:00,1,1005,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,0,1661,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,4,867,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,3,617,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,6,910,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,10,1759,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,5,1168,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,9,4330,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,8,603,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,2,1634,1.496,9,3,1,0,0
2025-01-02 09:00:00+00:00,7,235,1.496,9,3,1,0,0
2025-01-02 10:00:00+00:00,2,1635,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,10,1792,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,8,608,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,9,4373,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,7,239,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,1,1030,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,6,927,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,0,1692,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,4,883,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,5,1194,1.046,10,3,1,0,0
2025-01-02 10:00:00+00:00,3,621,1.046,10,3,1,0,0
2025-01-02 11:00:00+00:00,3,636,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,7,260,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,1,1079,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,0,1765,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,9,4589,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,10,1900,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,5,1258,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,2,1752,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,8,630,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,6,973,0.49600002,11,3,1,0,0
2025-01-02 11:00:00+00:00,4,931,0.49600002,11,3,1,0,0
2025-01-02 12:00:00+00:00,7,290,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,1,1145,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,4,1008,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,8,659,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,10,2064,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,9,5057,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,2,1848,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,3,654,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,5,1382,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,0,1855,0.19600001,12,3,1,0,0
2025-01-02 12:00:00+00:00,6,1065,0.19600001,12,3,1,0,0
2025-01-02 13:00:00+00:00,2,1898,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,3,668,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,4,1053,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,6,1131,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,9,5481,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,8,688,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,1,1211,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,5,1441,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,0,1946,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,10,2189,1.796,13,3,1,0,0
2025-01-02 13:00:00+00:00,7,309,1.796,13,3,1,0,0
2025-01-02 14:00:00+00:00,5,1399,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,7,318,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,10,2165,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,6,1148,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,2,1915,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,4,1063,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,1,1253,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,8,703,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,0,2016,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,3,702,2.896,14,3,1,0,0
2025-01-02 14:00:00+00:00,9,5716,2.896,14,3,1,0,0
